id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
5790,CCERI30,Natural Gas,CCGT,PP,Bolivia,132.2,0.45,2015,,2035,-17.1953237,-64.5154512,,,,,ERD-230_CCERI30,Entre Rios ERD-230 CCERI30
5791,CCERI40,Natural Gas,CCGT,PP,Bolivia,132.33,0.45,2015,,2035,-17.1955927,-64.5155642,,,,,ERD-230_CCERI40,Entre Rios ERD-230 CCERI40
5792,CCERI50,Natural Gas,CCGT,PP,Bolivia,132.24,0.45,2015,,2035,-17.1960767,-64.5157892,,,,,ERD-230_CCERI50,Entre Rios ERD-230 CCERI50
5793,MOA02**,Oil,Steam Turbine,PP,Bolivia,1.24,0.35,2015,,2035,-14.8299401,-64.937811,,,,,TRI-115_MOA02,Moxos TRI-115 MOA02
5794,MOA05**,Oil,Steam Turbine,PP,Bolivia,1.07,0.35,2015,,2035,-14.8299402,-64.937812,,,,,TRI-115_MOA05,Moxos TRI-115 MOA05
5795,MOA06**,Oil,Steam Turbine,PP,Bolivia,1.09,0.35,2015,,2035,-14.8299403,-64.937813,,,,,TRI-115_MOA06,Moxos TRI-115 MOA06
5796,MOA07**,Oil,Steam Turbine,PP,Bolivia,1.07,0.35,2015,,2035,-14.8299404,-64.937814,,,,,TRI-115_MOA07,Moxos TRI-115 MOA07
5797,MOA08**,Oil,Steam Turbine,PP,Bolivia,1.07,0.35,2015,,2035,-14.8299404,-64.937814,,,,,TRI-115_MOA08,Moxos TRI-115 MOA08
5798,RRE01**,Oil,Steam Turbine,PP,Bolivia,1.17,0.35,2015,,2035,-14.4224258,-67.5466829,,,,,SBU-115_RRE01,Rurrenabaque SBU-115 RRE01
5799,RRE02**,Oil,Steam Turbine,PP,Bolivia,0.59,0.35,2015,,2035,-14.4224259,-67.546683,,,,,SBU-115_RRE02,Rurrenabaque SBU-115 RRE02
5800,SBO01**,Oil,Steam Turbine,PP,Bolivia,1.17,0.35,2015,,2035,-14.85885,-66.7599896,,,,,SBO-115_SBO01,San Borja SBO-115 SBO01
