,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
53,VHE04,Natural Gas,Steam Turbine,PP,BO,18.44,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.4304297,-66.1181082,VHE-115_VHE04,Valle Hermoso VHE-115 VHE04,11
54,VHE05,Natural Gas,Steam Turbine,PP,BO,10.47,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.4307587,-66.1180372,VHE-115_VHE05,Valle Hermoso VHE-115 VHE05,11
55,VHE06,Natural Gas,Steam Turbine,PP,BO,10.47,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.4307307,-66.1179512,VHE-115_VHE06,Valle Hermoso VHE-115 VHE06,11
56,VHE07,Natural Gas,Steam Turbine,PP,BO,10.47,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.4307307,-66.1179512,VHE-115_VHE07,Valle Hermoso VHE-115 VHE07,11
57,VHE08,Natural Gas,Steam Turbine,PP,BO,10.47,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.4306717,-66.1177712,VHE-115_VHE08,Valle Hermoso VHE-115 VHE08,11
58,CAR01,Natural Gas,Steam Turbine,PP,BO,52.09,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.2125958,-64.5319487,CAR-230_CAR01,Carrasco CAR-230 CAR01,28
59,CAR02,Natural Gas,Steam Turbine,PP,BO,53.78,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.2126807,-64.5283102,CAR-230_CAR02,Carrasco CAR-230 CAR02,28
60,CAR03,Natural Gas,Steam Turbine,PP,BO,23.61,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.2127937,-64.5280822,CAR-230_CAR03,Carrasco CAR-230 CAR03,28
61,ALT01,Natural Gas,Steam Turbine,PP,BO,17.29,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-16.5654757,-68.1814272,KEN-115_ALT01,El Alto KEN-115 ALT01,6
62,ALT02,Natural Gas,Steam Turbine,PP,BO,31.96,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-16.5653777,-68.1817352,KEN-115_ALT02,El Alto KEN-115 ALT02,6
63,BUL01,Natural Gas,Steam Turbine,PP,BO,43.12,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.2423217,-64.5410832,CAR-230_BUL01,Bulo Bulo CAR-230 BUL01,41
64,BUL02,Natural Gas,Steam Turbine,PP,BO,43.12,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.2425497,-64.5410292,CAR-230_BUL02,Bulo Bulo CAR-230 BUL02,41
65,BUL03,Natural Gas,Steam Turbine,PP,BO,47.16,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.2428087,-64.5409702,CAR-230_BUL03,Bulo Bulo CAR-230 BUL03,41
66,ERI11,Natural Gas,Steam Turbine,PP,BO,28.58,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.1968637,-64.5160442,ERI-230_ERI11,Entre Rios ERI-230 ERI11,39
67,ERI12,Natural Gas,Steam Turbine,PP,BO,27.9,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.1967867,-64.5162542,ERI-230_ERI12,Entre Rios ERI-230 ERI12,39
68,ERI21,Natural Gas,Steam Turbine,PP,BO,28.98,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.1971047,-64.5161332,ERI-230_ERI21,Entre Rios ERI-230 ERI21,39
69,ERI22,Natural Gas,Steam Turbine,PP,BO,28.3,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.1970457,-64.5163642,ERI-230_ERI22,Entre Rios ERI-230 ERI22,39
